Movie,Character_ID,Line_Index,Dialogue,Character
Deathly Hallows: Part 2,RON_66,3119,"Yes, you can. 75. 253 CONTINUED: 253 She reaches out, her hand trembling, and takes the fang from his fingers. She raises her arm -- still as glass for a moment -- then knifes down... 253A EXT. HOGWARTS CASTLE - SAME TIME - NIGHT 253A Voldemort HOWLS, his eyes burning scarlet... 254 OMITTED 254 255 INT. MARBLE STAIRCASE - SAME TIME - NIGHT 255 Harry STAGGERS, ROARING in agony, his IRISES BLOOMING RED in the reflected glow of the guttering torch on the wall he steadies himself against as... 256 EXT. HOGWARTS CASTLE - SAME TIME - NIGHT 256 ... impulsively, violently, Voldemort draws his wand -- the Elder Wand -- then stops -- briefly -- studying it. A strange mixture of awe and ambivalence darkens his face. Then, suddenly, it vanishes and he points the wand to the sky. His arm SWEEPS forth. And a CRACK OF THUNDER shakes the grounds. The sky turns white. For a moment, everything is FROZEN, STILL... 257 EXT. HOGWARTS CASTLE - SAME TIME - NIGHT 257 ... and then an ERUPTION of sound and fury rolls over the grounds. 258 EXT. WOODEN BRIDGE - SAME TIME - NIGHT 258 Neville stares to the sky, his face bleached white. Ginny’s pupils contract. 259 EXT. COURTYARD - SAME TIME - NIGHT 259 McGonagall studies the trembling shield above. 260 EXT. BATTLEMENTS - SAME TIME - NIGHT 260 Tonks reaches for Lupin’s hand, but is unable to bridge the few inches that separate their fingers. 76. 261 EXT. BATTLEMENTS - SAME TIME - NIGHT 261 Stricken, Fred and George and Dean stare at the night sky. 262 EXT. VIADUCT - SAME TIME - NIGHT 262 An ARMORED WARRIOR STATUE stares impassively. 263 EXT. OTHER PART OF VIADUCT - SAME TIME - NIGHT 263 Flitwick turns, stares up at the castle, standing dark as ink against the sky. 264 EXT. HOGWARTS CASTLE - SAME TIME - NIGHT 264 And then Voldemort’s arm drops and... ... Flitwick’s shield shatters. 264A INT. MARBLE STAIRCASE - SAME TIME - NIGHT 264A Harry staggers against the wall as the pain loosens its grip; the scarlet in his eyes ebbs as the flames flickering in the sconces gutter... 265 OMITTED 265 266 EXT. HOGWARTS CASTLE - SAME TIME - NIGHT 266 ... the SCARLET FIRE BLAZING in Voldemort’s eyes recedes... 267 INT. CHAMBER OF SECRETS - SAME TIME - NIGHT 267 ... the cup tumbles into the water, SIZZLING as it makes contact, sending a WRAITH of WATER spewing forth, tortured and writhing. It hangs, suspended tremulously in the air, horrifying... then EXPLODES, raining over Ron and Hermione. They stand, utterly still, as the water runs off their bodies and pools at their feet. For a moment, they stay like this, unmoving, as if amazed to have survived, then their eyes shift, find each other. They do not blink, the moment fraught. Then Hermione -- almost imperceptibly -- nods. Finally, they move, closing the space between them, and kiss. 77. 268 EXT. HOGWARTS - GROUNDS/VIADUCT - SAME TIME - NIGHT 268 SIZZLING PLUMES strafe the night sky, raining down on the knights arrayed along the bridge and onto the castle itself. 269 EXT. COURTYARD - SAME TIME - NIGHT 269 The PLUMES RICOCHET madly, shattering the tracery as the Knights struggle to defend the castle. McGonagall looks up: more PLUMES light up the sky, begin to plummet. PROFESSOR McGONAGALL Fall inside! Everybody! Fall inside! 270 EXT./INT. BATTLEMENTS - SAME TIME - NIGHT 270 Windows shatter, pierced by PLUMES, which MATERIALIZE into DEATH EATERS. Instantly, students and staff engage the dark wizards, standing shoulder to shoulder as they defend the school against the onslaught. Fred and George fall in on either side of Arthur, wands BLAZING, while Lupin, Tonks and Shacklebolt battle only yards away, the fighting swift and lethal. 271 EXT. WOODEN BRIDGE - SAME TIME - NIGHT 271 Neville’s eyes rake the fiery nightscape before him, then shift to the more immediate vicinity. He goes still. Scabior. The Snatchers. Are rising. Moving forward. Toward... him.",RON
Deathly Hallows: Part 2,RON_85,4460,"Rubbish! You can’t just give yourself up to him -- Hermione squeezes Ron’s arm, silencing him.",RON
Deathly Hallows: Part 2,RON_15,888,"How will we know what it is when we get in there? After all, a Horcrux can be anything.",RON
Deathly Hallows: Part 2,RON_76,3622,"Brilliant. Harry turns, catches Ron marveling Hermione. Ron turns, sees Harry looking at him. Then, as one, they fly pell- mell toward Hermione’s beacon. As they draw close the light burns so bright all goes white and they burst... 283 OMITTED 283 284 INT. CORRIDOR - CONTINUOUS ACTION - NIGHT 284 ... through the wall, tumbling into the corridor. Malfoy lands face down, retching. As Hermione rolls over, the diadem SPINS MADLY on the ground. Harry snatches it quickly, as if it might run away and Hermione tosses him the basilisk fang. He stares down at the smoking diadem and briefly pauses, reading the words etched there: Wit Beyond Measure Is Man’s Greatest Treasure. Then, without hesitation, he drives the fang into the blackened crown and... 88. 285 EXT. HOGWARTS CASTLE - SAME TIME - NIGHT 285 ... Voldemort freezes, BELLOWING in PAIN as his eyes burn RED and he GLARES toward the castle in the distance, where... 286 INT. CORRIDOR - SAME TIME - NIGHT 286 ... Harry GRIMACES IN AGONY and ROARS with PAIN, the veins at his TEMPLE THROBBING, his KNUCKLES BURNING WHITE as he grips the basilisk fang. FISSURES SURFACE IN HIS FINGERNAILS and... 287 EXT. HOGWARTS CASTLE - SAME TIME - NIGHT 287 ... Voldemort’s pale hand grips the Elder Wand so fiercely hairline cracks craze the wand’s veneer. Voldemort’s stricken face wheels toward the black sky above, eyes scanning the dull stars with despair as he RELEASES a MOURNFUL SHRIEK and... 288 INT. CORRIDOR - SAME TIME - NIGHT 288 ... the fang CRUMBLES in Harry’s fist and Harry, staring toward the ceiling, GASPS DESPERATELY, purging himself of the pain. He looks down, regarding the diadem with a kind of mournful horror, then Ron kicks it back into the Room of Requirement, where it EXPLODES in a VORTEX of FLAMES and the Room re-seals itself as... 289 EXT. HOGWARTS ROCK - SAME TIME - NIGHT 289 ... Voldemort’s eyes glitter with madness, his gaze lost, adrift in the dark constellations above. When he speaks, finally, his VOICE is HOARSE, oddly TENDER:",RON
Deathly Hallows: Part 2,HERMIONE_47,3373,There he is.,HERMIONE
Deathly Hallows: Part 2,DUMBLEDORE_4,4205,How much did you relay?,DUMBLEDORE
Deathly Hallows: Part 2,DUMBLEDORE_51,4801,That is up to you.,DUMBLEDORE
Deathly Hallows: Part 2,RON_80,3712,"Find out where he is. If we find him, we find the snake. Then we’re one step closer to ending this. Hermione studies Harry and Ron as they stare silently at one another. Finally, Harry closes his eyes. 90. 290 CONTINUED: (2) 290 For a moment: nothing. Then: his eyelids dance with movement, his scar SPASMS. He winces. Finds himself... 291-294 OMITTED 291-294 295 EXT. SCOTTISH LANDSCAPE - FLYING - SAME TIME - NIGHT 295 ... soaring over dark fields, past unspeakable devastation. The Quidditch Pitch rolls INTO VIEW,",RON
Deathly Hallows: Part 2,RON_21,1004,Go on.,RON
Deathly Hallows: Part 2,RON_44,1587,"Bloody hell. 200A INT. GRINGOTTS - BANKING HALL - DAY 200A Dust still hangs in the air. Those Goblins that survived straggle over the rubble -- and the occasional dead colleague -- toward the exits. Among them, a familiar figure emerges... Griphook. Clutching the sword of Gryffindor, he bumps past his dazed brethren, taking an agitated glance over his shoulder as he hurries on before turning back round... ... and coming to a dead halt before a Death Eater, who raises his wand and points it directly between Griphook’s eyes. 201 EXT. OVER COUNTRYSIDE - AFTERNOON (LATER) 201 The sun has dropped. Below, the dragon’s GIANT SHADOW passes over patches of brown and green. 39. 202 EXT. OVER MOUNTAINS/LAKES - LATE DAY (LATER) 202 The trio shiver as they cling to the dragon. Harry slides a few inches. He peers up, past the beast’s head.",RON
