character	speech_id	text
NEVILLE	276	Like hell? I reckon. This is nothing. Seamus is worse. You’ll see. Hermione! Ron!
NEVILLE	277	Hey, Ab. There might be a couple more people on the way.
NEVILLE	278	Well? Ready?
RON	279	I don’t remember this being on the Marauder’s Map.
NEVILLE	280	That’s because it never existed till now. The seven secret passages were sealed off before
HERMIONE	281	How bad is it, Neville? With
HERMIONE	282	They did that to you? But why?
NEVILLE	283	Today’s Dark Arts lesson had us practicing the Cruciatus Curse. On First Years. I refused. Hogwarts has changed.
NEVILLE	284	Aw, c’mon. Don’t be grim. We’re all used to it by now. And the thing is, it helps when people stand up, gives everyone hope. I used to notice that when you did it, Harry. C’mon, we’re almost there.
NEVILLE	285	Let’s have a bit of fun, shall we?
SEAMUS	286	Blimey. ... VOICES EXPLODE. Madness ensues as the trio is swallowed up in a scrum of backslaps and handshakes. Many familiar faces are present. Luna. Dean Thomas.
NEVILLE	287	Get the word out to Remus and the others that Harry’s back.
NIGEL	288	River, DA calling. Do you read? We have a new weather report: Lightning has struck. I repeat, lightning has struck...
NEVILLE	289	Okay, okay! Stand down! Let’s not kill them before You-Know-Who gets the chance!
HARRY	290	Okay. There’s something we need to find, something hidden here in
NEVILLE	291	What is it?
HARRY	292	We don’t know.
DEAN	293	Where is it?
HARRY	294	Don’t know that either.
HARRY	295	I realize it’s not much to go on.
SEAMUS	296	That’s nothing to go on.
HARRY	297	I think it might have something to do with Ravenclaw. It would be small, easy to conceal, valuable. Any ideas?
LUNA	298	Well, there’s Rowena Ravenclaw’s lost diadem.
CHO	299	Yes, but Luna, it’s lost. For centuries now. There’s not a person alive today who’s seen it.
RON	300	Excuse me. But would someone tell me: what’s a bloody diadem?
CHO	301	It’s a kind of crown. You know, like a tiara.
CHO	302	Ravenclaw’s was rumored to have magical properties, to enhance the wisdom of the wearer.
GINNY	303	Harry.
HARRY	304	Hey there.
SEAMUS	305	Got loads of those, though,
RON	306	Shut up, Seamus.
NEVILLE	307	What is it, Ginny?
ALECTO CARROW	308	Put a smile on, Miss Reynolds. Wouldn’t want me to have to pay a visit to Daddy again, would you?
SNAPE	309	Many of you are surely wondering why I have summoned you here at
SNAPE	310	I mention this in the hopes that truth will not be supplanted by rumor.
SNAPE	311	Now then. If anyone here has knowledge of Mr. Potter’s movements this evening... I invite
FOOTSTEPS.	312	A FIGURE appears in the shadows at the back of the Hall. McGonagall’s chin rises in disbelief. Maisy’s face blooms with hope. And then...
HARRY	313	It would seem that, despite your exhaustive defensive strategies, you have a bit of a security problem, Headmaster.
HARRY	314	And I’m afraid it’s rather extensive.
HARRY	315	How dare you stand where he stood.
HARRY	316	I’m a Gryffindor. PROFESSOR McGONAGALL I thought it might have something to do with that.
FILCH	317	Students out of bed! Students in
FILCH	318	Oh. Sorry, mum. Filch begins to turn away. PROFESSOR McGONAGALL Wait! As it turns out, Mr. Filch, your arrival is most opportune. If you would, I’d like you to lead Miss Parkinson and the rest of Slytherin House from the Hall.
FILCH	319	Right away.
HARRY	320	Time. As much as you can give me. PROFESSOR McGONAGALL Do what you have to do. I’ll secure the castle.
HARRY	321	Is that possible, Professor? PROFESSOR McGONAGALL We teachers are rather good at magic, Potter. We’ve even been known to turn out a worthwhile witch or wizard on occasion.
HARRY	322	I think you’re right. McGonagall nods, still sizing up Neville and the others. Harry turns, starts to exit. PROFESSOR McGONAGALL
HARRY	323	You, too, Professor. 231-232 OMITTED 231-232
NEVILLE	324	Let me get this straight, Professor. You’re giving us permission to do this? PROFESSOR McGONAGALL That is correct, Longbottom.
NEVILLE	325	To blow it up. Boom. PROFESSOR McGONAGALL Boom.
NEVILLE	326	Wicked.
SEAMUS	327	I can bring ‘er down. PROFESSOR McGONAGALL That’s the spirit. Now off you go. Neville, Ginny, Seamus and the DA peel off.
FLITWICK	328	You realize, of course, that nothing we do will be able to keep out You-Know-Who indefinitely.
MADAM SPROUT	329	That doesn’t mean we can’t hold
INTO VIEW.	330	PROFESSOR McGONAGALL Hogwarts is threatened! Man the boundaries and protect us! Do your duty to our school! As the statues thunder past, heading toward the viaduct, McGonagall watches with evident pleasure.
TEACHERS	331	Protego Maxima... Finato Duri... Repello Inimicum...
RON	332	Harry, Hermione and I have been thinking. It doesn’t really matter if we find the Horcrux.
HERMIONE	333	Unless we can destroy it.
RON	334	So we were thinking --
HERMIONE	335	You were thinking. It’s Ron’s idea. And it’s brilliant.
RON	336	You destroyed Tom Riddle’s Diary with a Basilisk fang, right? Well, we know where we might find one, don’t we?
HARRY	337	Okay. But take this. That way you can find me when you get back. Harry hands Hermione the MARAUDER’S MAP.
HERMIONE	338	Where are you going?
HARRY	339	Ravenclaw Common Room. Got to start somewhere.
LUNA	340	Harry! Wait! I need to talk to you!
HARRY	341	I’m a bit preoccupied right now, Luna.
LUNA	342	But you won’t find anything where you’re going. You’re wasting your time.
HARRY	343	We’ll talk later, Luna.
HARRY	344	Later.
LUNA	345	Don’t you remember what Cho said about Rowena Ravenclaw’s diadem: ‘There’s not a person alive who’s seen it.’
LUNA	346	It’s obvious, isn’t it? We have to talk to someone who’s dead.
VOLDEMORT	347	Begin.
THICKNESSE	348	But, my Lord, shouldn’t we wait -- Voldemort’s eyes shift, killing the remainder of
FRED	349	Nice night for it!
HARRY	350	Okay, Luna. Who’ve you got in mind?
NEVILLE	351	You do know what you’re doing, don’t you, Seamus?
NEVILLE	352	Blimey. Neville looks off then, peering back along the bridge’s
NEVILLE	353	Not good.
LUNA	354	If you’re to find her, you’ll find
HARRY	355	Aren’t you coming?
LUNA	356	No. I think it best if you two
KINGSLEY SHACKLEBOLT	357	Tell Professor McGonagall Remus and I will handle this side of the castle.
DEAN	358	Yes, sir. As Dean starts off, the grounds beyond and below come
KINGSLEY SHACKLEBOLT	359	Dean!
LUPIN	360	It’s the quality of one’s conviction that determines success, not the number of one’s followers. Lupin stares straight ahead, as does Shacklebolt.
KINGSLEY SHACKLEBOLT	361	Who said that?
LUPIN	362	Me.
LUPIN	363	Speaking of quality.
LUPIN	364	You shouldn’t have. It’s Teddy who needs you.
HARRY	365	It’s you...
NEVILLE	366	Ha! Ha!
NEVILLE	367	Yeah! You and whose army!
SEAMUS	368	Woah! Easy up there!
NEVILLE	369	Sorry.
HERMIONE	370	No. Of course not.
RON	371	I’ve never got this far before.
HERMIONE	372	I’m scared.
RON	373	Me too.
HERMIONE	374	I didn’t expect it to be like this.
RON	375	What did you expect it to be like?
HERMIONE	376	Not this.
HARRY	377	You’re the Grey Lady, the ghost of Ravenclaw Tower.
THE GREY LADY	378	I do not answer to that name.
HARRY	379	I’m sorry. It’s Helena, isn’t it? Helena Ravenclaw. Rowena’s daughter. Luna told me.
THE GREY LADY	380	Are you a friend of Luna’s?
HARRY	381	Yes. She thought you might be able to help me.
THE GREY LADY	382	You seek my mother’s diadem.
HARRY	383	Yes! That’s right --
HARRY	384	Wait! Please!
THE GREY LADY	385	Many have sought my mother’s diadem. Its powers are legendary...
HARRY	386	But I don’t care about its powers! Honestly --
HARRY	387	I don’t seek it for myself! You have to believe me!
HARRY	388	I want to destroy it.
HARRY	389	That’s what you want, isn’t it, Helena? You want it destroyed.
HARRY	390	I’ll end your pain, Helena. Tell me where it is and I’ll destroy it, I swear, on my mother’s memory --
HARRY	391	Tom Riddle --
THE GREY LADY	392	I know what he’s done! I know who
HARRY	393	Yes. That’s right. But I can undo that, Helena. I can destroy it once and for all. But only if you tell me where he hid it. You know where he hid it, don’t you, Helena? You just have to tell me. Please.
THE GREY LADY	394	Strange... you remind me of him a bit...
THE GREY LADY	395	It’s here. In the castle. In the place where everything is hidden...
THE GREY LADY	396	If you have to ask, you’ll never know. If you know, you need only ask...
HARRY	397	Thank you... ... then turning...
HARRY	398	Thank you... ... then running.
RON	399	You do it.
RON	400	Yes, you can.
NEVILLE	401	Not good. Neville starts to back up slowly, then turns heel and pelts back up the bridge. Plumes rain down from the sky.
GINNY	402	Ready!?
NEVILLE	403	Are you bloody joking?!
GINNY	404	What?
NEVILLE	405	That was kind of exciting.
GINNY	406	Mad. The both of you. Just then, a thundering RUMBLE almost sends Neville
NEVILLE	407	Not good.
FILCH	408	Night-tee night.
PANSY PARKINSON	409	You let us out of here, you filthy squib!
HARRY	410	Ginny! Neville! You alright?
NEVILLE	411	Never better! Feel like I could spit fire! Haven’t seen Luna, have you?
NEVILLE	412	I’m mad for her! Think it’s about time I told her, seeing as there’s a pretty good chance we’ll both be dead by dawn!
GINNY	413	I know.
RON	414	Bloody hell. We’ll never find him on this.
RON	415	What? As Hermione points to Harry’s name amidst the ant colony
RON	416	Brilliant.
HERMIONE	417	He vanished. Just now. I saw it.
RON	418	Let’s go.
HERMIONE	419	Brilliant. 279 OMITTED 279
DRACO	420	Take my hand.
DRACO	421	Well, well, what brings you here, Potter?
HARRY	422	I could ask you the same.
DRACO	423	I virtually lived here last year. Remember?
HARRY	424	I remember.
DRACO	425	You have something of mine. I’d like it back. Draco gestures to the wand sticking out of Harry’s pocket.
HARRY	426	What’s wrong with the one you have?
DRACO	427	Easy.
HARRY	428	Why didn’t you tell her?
HARRY	429	Bellatrix. You knew it was me. But you didn’t say anything. Blaise and Goyle, confused by this, regard Draco dimly
DRACO	430	Give me my wand.
HARRY	431	No. I don’t think so...
HARRY	432	Besides, its allegiance is to me now. If you want it, you’ll have to win it back. Perhaps even kill me...
GOYLE	433	C’mon, Draco. Don’t be a prat. Just do ’im.
GOYLE	434	Avada Kedavra!
HARRY	435	Expelliarmus!
HERMIONE	436	Did you see where it went? The diadem!
HARRY	437	It’s gone! We’ll never -- Ting! Ting! Ting! The diadem drops from the sky and
HARRY	438	Well done. Let’s find Ron and get out of here.
RON	439	RUN! Goyle’s set the bloody place on fire! As one, the trio dashes through the remaining aisles as
HARRY	440	Split up! Each goes a separate way, but it’s no use. The fire simply divides, the serpent slithering after Harry, the chimaera after Hermione, the dragon after Ron. Harry glances up, sees Malfoy and Blaise scaling a mountain of
HERMIONE	441	Do we climb!
HARRY	442	No, it’ll just follow us!
HARRY	443	Here! Take one!
HERMIONE	444	C’mon! This way!
HARRY	445	Wait! What about Malfoy and Blaise!
RON	446	IF WE DIE FOR THEM, I’LL KILL YOU, HARRY!
RON	447	Brilliant.
VOLDEMORT	448	Nagini. Come. Voldemort begins to slip away, BLASTING anyone who stands
RON	449	You’re bloody well welcome!
HARRY	450	Ron, you once asked me if I
HERMIONE	451	Someplace safe.
RON	452	Find out where he is. If we find him, we find the snake. Then we’re one step closer to ending this.
LUCIUS MALFOY	453	Forgive me, my Lord, but wouldn’t it be more prudent to call off
VOLDEMORT	454	I do not need to seek the boy!
LUCIUS MALFOY	455	Of c-course, my Lord.
VOLDEMORT	456	How do you live with yourself, Lucius?
HARRY	457	I know where he is.
TRELAWNEY	458	There’s more to me than incense and tea leaves, Mr. Finnegan.
LUNA	459	Thanks.
NEVILLE	460	Don’t mention it.
HERMIONE	461	NO! Hermione’s wand flashes. A DEAFENING BLAST. Greyback takes it straight to the chest, pitches up into the air and drops. Unmoving.
VOLDEMORT	462	Why doesn’t it work for me?
SNAPE	463	You have performed extraordinary magic with this wand, my Lord. In
VOLDEMORT	464	No! I am extraordinary! But the wand resists me!
SNAPE	465	There is no wand more powerful.
VOLDEMORT	466	Does it?
SNAPE	467	My Lord?
VOLDEMORT	468	You’re a clever man, Severus. Surely you must know.
VOLDEMORT	469	Where, Severus? Where does its loyalty lie?
SNAPE	470	With you, of course, my Lord.
SNAPE	471	My Lord --
VOLDEMORT	472	You have been a good and faithful servant, Severus. Voldemort raises the wand, points it at Snape’s throat.
VOLDEMORT	473	But only I can live forever...
VOLDEMORT	474	Kill. Snape’s eyes shift... meet the snake’s. The snake strikes. Harry’s SCREAM is swallowed by Snape’s own. Voldemort runs a finger along the wand, eyeing it with wonder, transfixed, then turns away.
VOLDEMORT	475	Nagini! Come!
SNAPE	476	Please. Snape holds Harry captive briefly, then drops back to the floor. Harry blinks, shaken.
HARRY	477	Give me something! Quickly! A flask! Anything. Instantly, Hermione CONJURES a flask from thin air. Hands trembling, Harry presses it to Snape’s ashen cheek, letting the fluid flow within.
SNAPE	478	You have your mother’s eyes... Snape’s face goes slack. Harry shivers. Ron reappears.
RON	479	Never! Do you hear me! NEVER!
HERMIONE	480	Where is everyone?
NIGHT	481	... poised on the threshold, looking in.
THEIR POV	482	Triage. The House tables have been pushed to the walls.
PETUNIA EVANS	483	We’re going home.
LILY EVANS	484	That’s mean.
YOUNG SNAPE	485	It’s true. You know so yourself.
SNAPE	486	No! Don’t kill me!
DUMBLEDORE	487	That wasn’t my intention.
DUMBLEDORE	488	Stand up, Severus. I haven’t much time. What message do you bring from Lord Voldemort this time?
DUMBLEDORE	489	Is this about the Prophecy?
SNAPE	490	Yes.
DUMBLEDORE	491	How much did you relay?
