movie,character,speech_id,text
goblet_of_fire_all_speeches,DUMBLEDORE,609,"I never liked these curtains. Set them on fire in my fourth year, by accident of course. I put you in terrible danger this year Harry I'm sorry."
goblet_of_fire_all_speeches,DUMBLEDORE,611,Priorium Contatum. You saw your parents that night didn't you? They reappeared.
goblet_of_fire_all_speeches,DUMBLEDORE,612,"No spell can reawaken the dead Harry I trust you know that. Dark and diffiult times lie ahead. Soon we must all face the choice between what is right what is easy. But remember this, you have friends here. You're not alone."
deathly_hallows_part2_all_speeches,DUMBLEDORE,487,That wasn’t my intention.
deathly_hallows_part2_all_speeches,DUMBLEDORE,488,"Stand up, Severus. I haven’t much time. What message do you bring from Lord Voldemort this time?"
deathly_hallows_part2_all_speeches,DUMBLEDORE,489,Is this about the Prophecy?
deathly_hallows_part2_all_speeches,DUMBLEDORE,491,How much did you relay?
deathly_hallows_part2_all_speeches,DUMBLEDORE,493,"If she means so much to you, surely Lord Voldemort would spare"
deathly_hallows_part2_all_speeches,DUMBLEDORE,495,You disgust me. You would sacrifice the life of an innocent child over a schoolboy crush?
deathly_hallows_part2_all_speeches,DUMBLEDORE,496,"And should I do so, what will you give me in return, Severus?"
deathly_hallows_part2_all_speeches,DUMBLEDORE,500,"If you loved Lily Evans, Severus. If you truly loved her. Then your way is clear."
deathly_hallows_part2_all_speeches,DUMBLEDORE,502,My word that I shall never reveal
deathly_hallows_part2_all_speeches,DUMBLEDORE,503,"Sometimes we see what we expect to see, Severus. Other teachers indicate the boy is modest, likeable and while no prodigy, possesses above-average gifts. Personally, I find him rather engaging."
deathly_hallows_part2_all_speeches,DUMBLEDORE,505,Perhaps. Oh. Severus.
deathly_hallows_part2_all_speeches,DUMBLEDORE,507,I was... foolish... greedy...
deathly_hallows_part2_all_speeches,DUMBLEDORE,509,For the time being?
deathly_hallows_part2_all_speeches,DUMBLEDORE,511,How long?
deathly_hallows_part2_all_speeches,DUMBLEDORE,513,"Well, this makes matters much more straightforward."
deathly_hallows_part2_all_speeches,DUMBLEDORE,514,"Do not ignore me, Severus. Was it not you who told me of Lord Voldemort’s plan to have the Malfoy boy murder me?"
deathly_hallows_part2_all_speeches,DUMBLEDORE,515,You must agree.
deathly_hallows_part2_all_speeches,DUMBLEDORE,516,"Yes. You must be the one to kill me, Severus. It is the only way. Only then will the Dark Lord trust you completely."
deathly_hallows_part2_all_speeches,DUMBLEDORE,518,There will come a time when Harry Potter must be told something. But you must wait until Voldemort
deathly_hallows_part2_all_speeches,DUMBLEDORE,519,"On the night Lord Voldemort went to Godric’s Hollow to kill Harry, and Lily Potter cast herself"
deathly_hallows_part2_all_speeches,DUMBLEDORE,520,There’s a reason Harry can speak
deathly_hallows_part2_all_speeches,DUMBLEDORE,522,Yes. And Voldemort himself must do it. That is essential.
deathly_hallows_part2_all_speeches,DUMBLEDORE,524,"But this is touching, Severus. Don’t tell me you’ve grown to care for the boy?"
deathly_hallows_part2_all_speeches,DUMBLEDORE,526,Lily. After all this time?
deathly_hallows_part2_all_speeches,DUMBLEDORE,561,You cannot help.
deathly_hallows_part2_all_speeches,DUMBLEDORE,562,"Harry. You wonderful boy. You brave, brave man. Let us walk."
deathly_hallows_part2_all_speeches,DUMBLEDORE,564,"Oh, yes."
deathly_hallows_part2_all_speeches,DUMBLEDORE,566,"Ah. That is the question, isn’t it? On the whole I think not."
deathly_hallows_part2_all_speeches,DUMBLEDORE,568,Not.
deathly_hallows_part2_all_speeches,DUMBLEDORE,570,"And that will, I think, have made all the difference. I suspect you now realize that you and Voldemort have been connected by something other than fate since that night in Godric’s Hollow all those years ago, Harry."
deathly_hallows_part2_all_speeches,DUMBLEDORE,572,Did. It was just destroyed only moments ago by none other than
deathly_hallows_part2_all_speeches,DUMBLEDORE,573,"You were the seventh Horcrux,"
deathly_hallows_part2_all_speeches,DUMBLEDORE,575,"Certain? No. Little is certain in this world, Harry. Call it an educated guess. Dumbledore smiles."
deathly_hallows_part2_all_speeches,DUMBLEDORE,577,Something beyond either of our help.
deathly_hallows_part2_all_speeches,DUMBLEDORE,579,I was going to ask you that. Where would you say that we are?
deathly_hallows_part2_all_speeches,DUMBLEDORE,581,King’s Cross! Is that right?
deathly_hallows_part2_all_speeches,DUMBLEDORE,583,"You will have to forgive me, Harry. You see... I didn’t trust you."
deathly_hallows_part2_all_speeches,DUMBLEDORE,584,"I feared that you would make the same mistake I made, that you would be intoxicated by the power"
deathly_hallows_part2_all_speeches,DUMBLEDORE,586,You are the worthy possessor of
deathly_hallows_part2_all_speeches,DUMBLEDORE,588,Yes.
deathly_hallows_part2_all_speeches,DUMBLEDORE,590,True. But ask yourself this: were you calling them? Or were they calling you?
deathly_hallows_part2_all_speeches,DUMBLEDORE,592,That is up to you.
deathly_hallows_part2_all_speeches,DUMBLEDORE,594,"Oh yes. We are in King’s Cross, you say? I think, should you so decide, you would be able to, let’s say, board a train."
deathly_hallows_part2_all_speeches,DUMBLEDORE,596,On.
deathly_hallows_part2_all_speeches,DUMBLEDORE,598,True.
deathly_hallows_part2_all_speeches,DUMBLEDORE,600,Yes.
deathly_hallows_part2_all_speeches,DUMBLEDORE,602,‘Help will always be given at Hogwarts to those who ask for it.’
deathly_hallows_part2_all_speeches,DUMBLEDORE,603,"I have always prized my ability to turn a phrase -- words are, in my not so humble opinion, our most inexhaustible source of magic, capable both of inflicting injury and remedying it. But I would -- in this case -- amend my original statement to this:"
deathly_hallows_part2_all_speeches,DUMBLEDORE,605,"I’ve never put much stock in miracles, Harry. On the other hand, I can attest wholly to the extensive advantages of a related phenomenon."
deathly_hallows_part2_all_speeches,DUMBLEDORE,607,Luck.
deathly_hallows_part2_all_speeches,DUMBLEDORE,608,"Do not pity the dead, Harry. Pity"
deathly_hallows_part2_all_speeches,DUMBLEDORE,610,"Actually, if I think about it... it doesn’t seem curious at all."
deathly_hallows_part2_all_speeches,DUMBLEDORE,613,"Of course it is happening inside your head, Harry. But why should that mean that it is not real?"
half_blood_prince_all_speeches,DUMBLEDORE,38,I once knew a Muggle girl from Liverpool with hair like spun silk. No light could resist it...
half_blood_prince_all_speeches,DUMBLEDORE,40,"Rather unpleasant to behold, isn’t it? The tale is thrilling if I do say so myself, but I’m afraid now is not the time to tell it. Take my arm."
half_blood_prince_all_speeches,DUMBLEDORE,42,Indeed. And quite successfully I might add. Most people vomit
half_blood_prince_all_speeches,DUMBLEDORE,44,"Welcome to the charming village of Budleigh Babberton, Harry. I assume right about now you’re wondering why I’ve brought you here, am I right?"
half_blood_prince_all_speeches,DUMBLEDORE,45,"Wand out, Harry."
half_blood_prince_all_speeches,DUMBLEDORE,46,Lumos...
half_blood_prince_all_speeches,DUMBLEDORE,47,Horace!
half_blood_prince_all_speeches,DUMBLEDORE,49,"I must say, you make a very convincing armchair, Horace."
half_blood_prince_all_speeches,DUMBLEDORE,52,"Ah yes. Introductions. Harry, this is an old friend and colleague of mine, Horace Slughorn. Horace, this is, well, you know who this is."
half_blood_prince_all_speeches,DUMBLEDORE,53,"So why all the theatrics, Horace? You weren’t perhaps expecting someone else, were you?"
half_blood_prince_all_speeches,DUMBLEDORE,56,"Well, I think it should be put"
half_blood_prince_all_speeches,DUMBLEDORE,57,"That was fun. May I use the loo? As Dumbledore heads down the hall, Slughorn calls after."
